Frase,Sentimento,Frase Limpa
Estou muito feliz com este resultado!,Felicidade,feliz resultado !
Isso me deixa com muita raiva.,Raiva,deixa muita raiva .
Sinto-me triste com essa situação.,Tristeza,Sinto-me triste situação .
Estou tão animado para este evento!,Felicidade,tão animado evento !
Essa história me deixa arrepiado.,Tristeza,história deixa arrepiado .
Fiquei tão furioso quando ouvi isso.,Raiva,Fiquei tão furioso ouvi .
Estou deprimido com as notícias de hoje.,Tristeza,deprimido notícias hoje .
Estou radiante com essa notícia!,Felicidade,radiante notícia !
Essa injustiça me deixa furioso.,Raiva,injustiça deixa furioso .
Meu coração está doendo de tristeza.,Tristeza,coração doendo tristeza .
Estou chocado com essa revelação!,Raiva,chocado revelação !
Estou transbordando de felicidade!,Felicidade,transbordando felicidade !
Estou me sentindo tão miserável.,Tristeza,sentindo tão miserável .
Estou radiante com essa vitória!,Felicidade,radiante vitória !
Essa situação me deixa com tanto medo.,Tristeza,situação deixa tanto medo .
Essa injustiça me faz ferver de raiva.,Raiva,injustiça faz ferver raiva .
Me sinto completamente desamparado.,Tristeza,sinto completamente desamparado .
Estou eufórico com esta notícia!,Felicidade,eufórico notícia !
Estou com muito medo do que pode acontecer depois.,Tristeza,medo pode acontecer .
Isso me faz perder o controle de tanta raiva.,Raiva,faz perder controle tanta raiva .
Estou de coração partido com essa notícia.,Tristeza,coração partido notícia .
Estou transbordando de felicidade e emoção!,Felicidade,transbordando felicidade emoção !
Essa situação me enfurece tanto.,Raiva,situação enfurece tanto .
Estou devastado com essa tragédia.,Tristeza,devastado tragédia .
Estou radiante com esta conquista!,Felicidade,radiante conquista !
Estou extasiado com essa descoberta!,Felicidade,extasiado descoberta !
Isso me deixa com uma alegria imensa.,Felicidade,deixa alegria imensa .
Essa notícia me trouxe um sorriso enorme!,Felicidade,notícia trouxe sorriso enorme !
Fico tão feliz quando estou com meus amigos.,Felicidade,Fico tão feliz amigos .
Estou radiante com o sucesso do projeto!,Felicidade,radiante sucesso projeto !
Estou tão triste por não poder ir ao evento.,Tristeza,tão triste poder ir evento .
Meu coração dói de saudade dos velhos tempos.,Tristeza,coração dói saudade velhos tempos .
Não aguento mais essa sensação de vazio.,Tristeza,aguento sensação vazio .
Sinto um aperto no peito ao lembrar da perda.,Tristeza,Sinto aperto peito lembrar perda .
Estou devastado com essa notícia terrível.,Tristeza,devastado notícia terrível .
Estou furioso com a incompetência dessa empresa.,Raiva,furioso incompetência dessa empresa .
Essa atitude me deixa tão irritado!,Raiva,atitude deixa tão irritado !
Não consigo suportar a falta de respeito.,Raiva,consigo suportar falta respeito .
Estou com tanta raiva que mal consigo falar.,Raiva,tanta raiva mal consigo falar .
Essa injustiça me faz querer gritar de raiva.,Raiva,injustiça faz querer gritar raiva .
Estou transbordando de alegria com essa novidade!,Felicidade,transbordando alegria novidade !
Estou completamente apaixonado por esse filme!,Felicidade,completamente apaixonado filme !
Estou radiante com a chegada das férias!,Felicidade,radiante chegada férias !
Que alegria poder passar tempo com a família!,Felicidade,alegria poder passar tempo família !
Estou tão feliz que mal posso conter o sorriso.,Felicidade,tão feliz mal posso conter sorriso .
Estou triste por não poder estar presente na festa.,Tristeza,triste poder presente festa .
Essa lembrança traz lágrimas aos meus olhos.,Tristeza,lembrança traz lágrimas olhos .
A solidão está me consumindo aos poucos.,Tristeza,solidão consumindo poucos .
Sinto um vazio imenso dentro de mim.,Tristeza,Sinto vazio imenso dentro mim .
Estou deprimido com a situação atual.,Tristeza,deprimido situação atual .
Estou revoltado com a falta de ética dessa empresa.,Raiva,revoltado falta ética dessa empresa .
Essa atitude é completamente inaceitável!,Raiva,atitude completamente inaceitável !
Estou com raiva até o último fio de cabelo.,Raiva,raiva último fio cabelo .
Essa incompetência me deixa enfurecido!,Raiva,incompetência deixa enfurecido !
Estou tão zangado que mal consigo raciocinar direito.,Raiva,tão zangado mal consigo raciocinar direito .
Estou radiante com a notícia do novo emprego!,Felicidade,radiante notícia novo emprego !
Estou tão feliz que sinto borboletas no estômago!,Felicidade,tão feliz sinto borboletas estômago !
Essa conquista é motivo de grande alegria!,Felicidade,conquista motivo grande alegria !
Estou nas nuvens com o resultado do exame!,Felicidade,nuvens resultado exame !
Que alegria poder realizar esse sonho!,Felicidade,alegria poder realizar sonho !
Estou triste por não poder participar da celebração.,Tristeza,triste poder participar celebração .
Essa perda é um golpe duro demais.,Tristeza,perda golpe duro demais .
Sinto um peso no coração ao lembrar do passado.,Tristeza,Sinto peso coração lembrar passado .
A saudade é uma dor que não passa.,Tristeza,saudade dor passa .
Estou tão triste que mal consigo me concentrar.,Tristeza,tão triste mal consigo concentrar .
