Frase,Sentimento
feliz resultado !,Felicidade
deixa muita raiva .,Raiva
Sinto-me triste situação .,Tristeza
tão animado evento !,Felicidade
história deixa arrepiado .,Tristeza
Fiquei tão furioso ouvi .,Raiva
deprimido notícias hoje .,Tristeza
radiante notícia !,Felicidade
injustiça deixa furioso .,Raiva
coração doendo tristeza .,Tristeza
chocado revelação !,Raiva
transbordando felicidade !,Felicidade
sentindo tão miserável .,Tristeza
radiante vitória !,Felicidade
situação deixa tanto medo .,Tristeza
injustiça faz ferver raiva .,Raiva
sinto completamente desamparado .,Tristeza
eufórico notícia !,Felicidade
medo pode acontecer .,Tristeza
faz perder controle tanta raiva .,Raiva
coração partido notícia .,Tristeza
transbordando felicidade emoção !,Felicidade
situação enfurece tanto .,Raiva
devastado tragédia .,Tristeza
radiante conquista !,Felicidade
extasiado descoberta !,Felicidade
deixa alegria imensa .,Felicidade
notícia trouxe sorriso enorme !,Felicidade
Fico tão feliz amigos .,Felicidade
radiante sucesso projeto !,Felicidade
tão triste poder ir evento .,Tristeza
coração dói saudade velhos tempos .,Tristeza
aguento sensação vazio .,Tristeza
Sinto aperto peito lembrar perda .,Tristeza
devastado notícia terrível .,Tristeza
furioso incompetência dessa empresa .,Raiva
atitude deixa tão irritado !,Raiva
consigo suportar falta respeito .,Raiva
tanta raiva mal consigo falar .,Raiva
injustiça faz querer gritar raiva .,Raiva
transbordando alegria novidade !,Felicidade
completamente apaixonado filme !,Felicidade
radiante chegada férias !,Felicidade
alegria poder passar tempo família !,Felicidade
tão feliz mal posso conter sorriso .,Felicidade
triste poder presente festa .,Tristeza
lembrança traz lágrimas olhos .,Tristeza
solidão consumindo poucos .,Tristeza
Sinto vazio imenso dentro mim .,Tristeza
deprimido situação atual .,Tristeza
revoltado falta ética dessa empresa .,Raiva
atitude completamente inaceitável !,Raiva
raiva último fio cabelo .,Raiva
incompetência deixa enfurecido !,Raiva
tão zangado mal consigo raciocinar direito .,Raiva
radiante notícia novo emprego !,Felicidade
tão feliz sinto borboletas estômago !,Felicidade
conquista motivo grande alegria !,Felicidade
nuvens resultado exame !,Felicidade
alegria poder realizar sonho !,Felicidade
triste poder participar celebração .,Tristeza
perda golpe duro demais .,Tristeza
Sinto peso coração lembrar passado .,Tristeza
saudade dor passa .,Tristeza
tão triste mal consigo concentrar .,Tristeza
revoltado corrupção neste país .,Raiva
injustiça absurdo completo !,Raiva
raiva cabe mim !,Raiva
incompetência deixa mim !,Raiva
tão enfurecido mal consigo falar !,Raiva
radiante notícia casamento !,Felicidade
tão feliz mal consigo conter lágrimas !,Felicidade
alegria poder compartilhar momento !,Felicidade
tão feliz sinto vou explodir alegria !,Felicidade
felicidade poder ver filho crescer !,Felicidade
feliz nova conquista !,Felicidade
deixa alegria indescritível .,Felicidade
notícia trouxe sorriso orelha orelha !,Felicidade
Fico tão feliz vejo sucesso amigos .,Felicidade
radiante resultado projeto !,Felicidade
tão triste poder presente aniversário .,Tristeza
coração dói saudades velhos tempos .,Tristeza
suporto sensação vazio consome .,Tristeza
Sinto aperto peito lembrar perda sofri .,Tristeza
devastado notícia terrível recebi .,Tristeza
tolero falta respeito .,Raiva
tanta raiva mal consigo falar direito .,Raiva
transbordando alegria novidade recebi !,Felicidade
completamente apaixonado filme acabei assistir !,Felicidade
radiante chegada férias tão esperadas !,Felicidade
alegria poder passar tempo família reunida !,Felicidade
tão feliz mal posso conter sorriso rosto .,Felicidade
triste poder presente festa aniversário .,Tristeza
Sinto vazio imenso dentro mim desde partiu .,Tristeza
deprimido situação atual mundo .,Tristeza
atitude completamente inaceitável deixa revoltado !,Raiva
radiante notícia novo emprego consegui !,Felicidade
conquista motivo grande alegria mim !,Felicidade
nuvens resultado positivo exame !,Felicidade
alegria poder realizar sonho tanto almejei !,Felicidade
triste poder participar celebração vitória .,Tristeza
perda golpe duro demais superar .,Tristeza
Sinto peso coração lembrar passado ficou trás .,Tristeza
saudade dor passa consome dia após dia .,Tristeza
tão triste mal consigo concentrar atividades dia dia .,Tristeza
revoltado corrupção assola país .,Raiva
injustiça absurdo completo deixa revoltado !,Raiva
incompetência deixa mim tanta raiva !,Raiva
radiante notícia casamento !,Felicidade
tão feliz mal consigo conter lágrimas emoção !,Felicidade
felicidade poder compartilhar momento tão especial !,Felicidade
tão feliz sinto vou explodir alegria qualquer momento !,Felicidade
felicidade poder ver filho crescer saudável feliz !,Felicidade
radiante oportunidade incrível surgiu !,Felicidade
enche alegria indescritível .,Felicidade
notícia trouxe sorriso cabe rosto !,Felicidade
Fico tão feliz vejo filhos crescendo felizes .,Felicidade
radiante resultados positivos projeto !,Felicidade
tão triste poder abraçar pais neste momento .,Tristeza
coração dói saudades momentos vivemos juntos .,Tristeza
suporto vazio sinto dentro mim .,Tristeza
Sinto aperto peito lembrar palavras ditas .,Tristeza
devastado perda pegou todos surpresa .,Tristeza
furioso falta comprometimento dessa equipe .,Raiva
atitude deixa tão irritado mal consigo conter !,Raiva
tolero falta respeito consideração .,Raiva
tanta raiva mal consigo controlar punhos cerrados .,Raiva
injustiça faz querer gritar tanta raiva indignação .,Raiva
transbordando alegria notícia maravilhosa recebi !,Felicidade
completamente encantado história desse livro !,Felicidade
radiante chegada novo membro família !,Felicidade
alegria poder compartilhar momento único !,Felicidade
tão feliz mal consigo conter emoção !,Felicidade
triste poder presente casamento grande amigo .,Tristeza
lembrança traz lágrimas olhos nó garganta .,Tristeza
"solidão corroendo poucos , veneno silencioso .",Tristeza
Sinto vazio profundo dentro mim nada parece preencher .,Tristeza
